count,datasourceId,variable,field,runId,value
str,crispr,evidenceFieldNotNullCountByDatasource,diseaseFromSourceId,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedModelPhenotypes_id,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedModelPhenotypes_label,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,variantAminoacidDescriptions,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,clinicalStatus,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,mutatedSamples_functionalConsequenceId,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberMutatedSamples,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberSamplesTested,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberSamplesWithMutationType,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,cohortPhenotypes,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,drugId,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,variantFunctionalConsequenceId,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,publicationYear,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,targetModulation,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,resourceScore,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,urls_niceName,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,urls_url,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,cohortShortName,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,pathwayId,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,literature,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,oddsRatio,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,log2FoldChangeValue,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,confidence,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedHumanPhenotypes_id,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedHumanPhenotypes_label,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,publicationFirstAuthor,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,pValueExponent,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,pValueMantissa,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,log2FoldChangePercentileRank,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,clinicalPhase,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,textMiningSentences_dEnd,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,textMiningSentences_dStart,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,textMiningSentences_section,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,textMiningSentences_tEnd,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,textMiningSentences_tStart,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,textMiningSentences_text,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,cohortId,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,targetFromSourceId,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,significantDriverMethods,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,reactionId,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,clinicalSignificances,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,datatypeId,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,biologicalModelGeneticBackground,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,diseaseFromSource,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,diseaseCellLines,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,allelicRequirements,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,confidenceIntervalLower,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,contrast,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,studyOverview,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,confidenceIntervalUpper,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,targetInModel,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,pathwayName,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,cohortDescription,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,variantRsId,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,studyCases,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,diseaseId,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,studyId,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,studySampleSize,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,targetSymbol,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,targetName,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,diseaseLabel,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,id,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,score,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,sourceId,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,targetId,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,biologicalModelAllelicComposition,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,variantId,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,diseaseFromSourceId,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedModelPhenotypes_id,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedModelPhenotypes_label,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,variantAminoacidDescriptions,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,clinicalStatus,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,mutatedSamples_functionalConsequenceId,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberMutatedSamples,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberSamplesTested,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberSamplesWithMutationType,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,cohortPhenotypes,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,drugId,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,variantFunctionalConsequenceId,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,publicationYear,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,targetModulation,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,resourceScore,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,urls_niceName,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,urls_url,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,cohortShortName,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,pathwayId,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,literature,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,oddsRatio,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,log2FoldChangeValue,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,confidence,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedHumanPhenotypes_id,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedHumanPhenotypes_label,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,publicationFirstAuthor,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,pValueExponent,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,pValueMantissa,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,log2FoldChangePercentileRank,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,clinicalPhase,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,textMiningSentences_dEnd,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,textMiningSentences_dStart,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,textMiningSentences_section,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,textMiningSentences_tEnd,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,textMiningSentences_tStart,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,textMiningSentences_text,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,cohortId,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,targetFromSourceId,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,significantDriverMethods,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,reactionId,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,clinicalSignificances,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,datatypeId,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,biologicalModelGeneticBackground,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,diseaseFromSource,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,diseaseCellLines,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,allelicRequirements,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,confidenceIntervalLower,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,contrast,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,studyOverview,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,confidenceIntervalUpper,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,targetInModel,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,pathwayName,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,cohortDescription,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,variantRsId,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,studyCases,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,diseaseId,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,studyId,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,studySampleSize,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,targetSymbol,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,targetName,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,diseaseLabel,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,id,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,score,21.02,
str,genomics_england,evidenceFieldNotNullCountByDatasource,sourceId,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,targetId,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,biologicalModelAllelicComposition,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,variantId,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,diseaseFromSourceId,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedModelPhenotypes_id,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedModelPhenotypes_label,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,variantAminoacidDescriptions,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,clinicalStatus,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,mutatedSamples_functionalConsequenceId,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberMutatedSamples,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberSamplesTested,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberSamplesWithMutationType,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,cohortPhenotypes,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,drugId,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,variantFunctionalConsequenceId,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,publicationYear,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,targetModulation,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,resourceScore,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,urls_niceName,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,urls_url,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,cohortShortName,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,pathwayId,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,literature,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,oddsRatio,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,log2FoldChangeValue,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,confidence,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedHumanPhenotypes_id,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedHumanPhenotypes_label,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,publicationFirstAuthor,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,pValueExponent,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,pValueMantissa,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,log2FoldChangePercentileRank,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,clinicalPhase,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,textMiningSentences_dEnd,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,textMiningSentences_dStart,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,textMiningSentences_section,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,textMiningSentences_tEnd,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,textMiningSentences_tStart,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,textMiningSentences_text,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,cohortId,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,targetFromSourceId,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,significantDriverMethods,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,reactionId,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,clinicalSignificances,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,datatypeId,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,biologicalModelGeneticBackground,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,diseaseFromSource,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,diseaseCellLines,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,allelicRequirements,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,confidenceIntervalLower,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,contrast,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,studyOverview,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,confidenceIntervalUpper,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,targetInModel,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,pathwayName,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,cohortDescription,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,variantRsId,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,studyCases,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,diseaseId,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,studyId,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,studySampleSize,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,targetSymbol,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,targetName,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,diseaseLabel,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,id,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,score,21.02,
str,chembl,evidenceFieldNotNullCountByDatasource,sourceId,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,targetId,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,biologicalModelAllelicComposition,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,variantId,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,diseaseFromSourceId,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedModelPhenotypes_id,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedModelPhenotypes_label,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,variantAminoacidDescriptions,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,clinicalStatus,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,mutatedSamples_functionalConsequenceId,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberMutatedSamples,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberSamplesTested,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberSamplesWithMutationType,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,cohortPhenotypes,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,drugId,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,variantFunctionalConsequenceId,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,publicationYear,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,targetModulation,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,resourceScore,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,urls_niceName,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,urls_url,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,cohortShortName,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,pathwayId,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,literature,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,oddsRatio,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,log2FoldChangeValue,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,confidence,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedHumanPhenotypes_id,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedHumanPhenotypes_label,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,publicationFirstAuthor,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,pValueExponent,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,pValueMantissa,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,log2FoldChangePercentileRank,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,clinicalPhase,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,textMiningSentences_dEnd,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,textMiningSentences_dStart,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,textMiningSentences_section,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,textMiningSentences_tEnd,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,textMiningSentences_tStart,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,textMiningSentences_text,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,cohortId,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,targetFromSourceId,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,significantDriverMethods,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,reactionId,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,clinicalSignificances,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,datatypeId,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,biologicalModelGeneticBackground,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,diseaseFromSource,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,diseaseCellLines,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,allelicRequirements,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,confidenceIntervalLower,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,contrast,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,studyOverview,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,confidenceIntervalUpper,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,targetInModel,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,pathwayName,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,cohortDescription,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,variantRsId,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,studyCases,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,diseaseId,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,studyId,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,studySampleSize,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,targetSymbol,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,targetName,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,diseaseLabel,21.02,
str,slapenrich,evidenceFieldNotNullCountByDatasource,id,21.02,
